X11A2_1O_dist,X11A2_1O_fx,X11A2_1O_prox,X11A2_2O_dist,X11A2_2O_fx,X11A2_2O_prox,X11A2_8O_dist,X11A2_8O_fx,X11A2_8O_prox,X11A5_10_dist,X11A5_10_fx,X11A5_10_prox,X11A5_11_dist,X11A5_11_fx,X11A5_11_prox,X11A5_12_dist,X11A5_12_fx,X11A5_12_prox,X11B2_14_fx,X11B2_14_prox,X11B2_15_dist,X11B2_15_fx,X11B2_15_prox,X11B2_16_dist,X11B2_16_fx,X11B2_16_prox,X11B5_22_dist,X11B5_22_fx,X11B5_22_prox,X11B5_23_dist,X11B5_23_fx,X11B5_23_prox,X11B5_24_dist,X11B5_24_prox,X11C2_25_dist,X11C2_25_fx,X11C2_25_prox,X11C2_26_dist,X11C2_26_fx,X11C2_26_prox,X11C2_30_dist,X11C2_30_fx,X11C2_30_prox,X11C5_31_dist,X11C5_31_fx,X11C5_31_prox,X11C5_34_dist,X11C5_34_prox,X11C5_36_dist,X11C5_36_fx,X11C5_36_prox
Mrpl15,21,17,37,19,23,32,57,50,55,10,26,19,13,15,7,21,76,33,9,9,22,56,17,43,72,25,19,76,13,50,54,23,21,19,34,349,34,9,56,10,60,246,98,72,97,71,60,94,138,95,78
Lypla1,14,47,33,25,20,40,59,81,61,10,32,25,8,16,9,37,101,46,20,10,19,78,23,40,79,32,20,70,33,36,47,31,37,30,44,451,46,13,68,14,61,328,85,72,92,75,58,91,133,86,59
Tcea1,86,138,97,75,67,120,138,219,194,22,78,52,15,41,28,85,269,146,38,30,42,212,51,91,199,65,51,209,79,126,156,86,90,61,116,965,87,20,152,31,196,628,245,187,258,214,138,225,318,293,214
Atp6v1h,15,16,19,4,10,19,38,17,22,4,11,7,4,5,10,13,39,17,6,8,3,33,10,13,32,8,7,31,12,18,25,8,13,7,18,130,13,5,21,12,11,114,29,20,32,32,22,37,53,39,29
Rb1cc1,41,45,52,27,20,56,64,88,84,10,28,14,12,20,7,41,102,54,17,13,15,84,14,38,71,28,14,60,43,51,59,38,46,28,45,440,47,7,76,8,69,329,99,53,87,50,58,69,89,92,89
4732440D04Rik,4,2,2,2,4,1,8,6,0,1,5,3,0,1,0,1,11,1,0,1,0,9,0,5,3,2,0,2,2,6,3,3,4,4,5,38,5,2,8,2,4,16,8,8,8,6,8,11,7,10,7
Pcmtd1,14,31,20,22,11,13,21,42,21,3,17,11,6,8,4,12,56,29,4,5,4,37,13,22,42,12,4,43,16,16,38,11,25,34,10,218,23,6,37,7,36,136,47,30,42,43,28,45,58,40,32
Rrs1,4,10,8,2,4,7,7,14,12,2,6,5,3,3,4,6,25,13,2,3,3,9,6,2,16,5,3,17,6,14,10,7,4,1,6,94,8,1,13,2,12,63,21,20,20,14,7,28,25,26,21
Adhfe1,3,1,0,0,2,3,0,4,0,0,2,0,0,0,0,2,4,1,0,0,0,3,2,6,3,2,2,4,0,0,3,0,0,1,0,24,2,0,1,0,4,15,10,2,6,3,3,3,3,7,2
Mybl1,3,11,5,2,0,5,12,13,8,2,2,1,1,2,2,5,19,8,1,7,3,6,3,8,8,8,0,10,2,2,9,2,5,5,4,59,10,2,10,0,12,33,16,12,8,6,5,9,17,10,11
Vcpip1,21,28,21,13,14,30,31,37,44,9,13,17,5,3,4,20,58,30,8,6,12,47,17,28,36,23,6,29,28,32,51,18,24,20,17,305,34,10,48,8,37,167,51,38,38,43,51,52,84,68,38
Sgk3,45,42,47,18,24,45,57,92,62,23,40,18,12,22,13,27,116,67,12,16,15,78,21,40,69,41,17,78,38,42,73,25,42,18,49,408,50,16,104,14,73,258,101,60,75,80,80,96,142,89,76
Snhg6,12,22,19,17,5,15,18,36,23,3,12,22,8,2,7,12,43,30,9,9,10,26,6,13,21,15,5,37,12,26,41,7,27,21,16,239,17,3,39,3,44,166,34,43,53,37,29,31,53,45,35
Ppp1r42,16,5,4,2,9,13,19,21,15,0,4,3,1,1,0,9,24,9,5,2,11,28,9,21,27,12,3,28,8,17,18,7,10,6,20,141,21,4,21,3,27,96,21,24,39,24,13,22,30,36,21
Cops5,24,49,29,26,32,45,45,59,51,12,41,22,5,11,12,32,100,43,12,22,15,66,23,40,69,33,23,65,28,56,52,32,45,21,43,376,42,8,65,13,81,242,102,68,109,95,72,95,138,107,89
Cspp1,39,47,28,43,41,51,55,97,82,9,48,30,19,17,4,46,159,47,15,6,23,96,23,56,95,47,22,97,49,77,64,41,46,48,69,526,61,17,77,11,88,331,110,71,100,71,82,88,169,93,101
Arfgef1,98,144,95,111,99,149,164,298,202,30,133,76,41,63,26,136,378,175,55,28,64,346,109,190,283,114,90,236,108,197,244,114,145,106,171,1811,182,31,285,50,287,1068,389,254,296,245,200,346,395,395,302
Ncoa2,13,20,22,19,14,13,21,39,31,2,16,8,3,7,6,15,49,22,7,3,5,48,18,29,27,11,5,34,14,26,34,10,19,23,15,202,18,7,52,4,33,107,41,27,26,33,34,33,58,45,41
Tram1,57,82,91,67,52,95,132,214,153,12,61,54,21,24,13,74,189,102,23,45,30,139,36,77,149,57,30,117,49,88,112,62,59,58,70,849,62,21,148,29,141,603,176,138,165,146,123,191,205,192,139
Lactb2,4,10,7,9,3,12,17,17,26,3,9,1,2,4,3,8,35,13,1,5,4,18,5,21,19,8,5,19,10,19,14,6,7,4,4,105,11,4,13,4,15,75,30,26,17,11,15,19,29,25,16
Eya1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Terf1,21,22,14,13,7,19,36,40,33,8,20,13,7,12,6,19,46,22,4,3,6,29,19,17,36,16,8,43,15,29,40,19,25,19,15,201,17,8,45,6,29,146,49,37,55,43,37,51,92,56,49
Rpl7,377,448,508,306,275,484,678,916,782,148,330,249,201,122,111,448,1145,644,184,187,220,1003,308,473,860,370,182,800,348,554,720,322,443,266,542,5643,533,183,1271,247,970,4131,1283,979,1345,1026,998,1446,1943,1595,1052
Rdh10,1,2,2,2,1,7,7,9,5,0,3,0,0,2,0,5,11,1,0,1,4,8,3,1,4,1,3,6,2,3,4,0,4,1,2,43,2,3,6,0,12,35,5,6,5,8,2,5,15,9,7
Ube2w,17,14,15,11,16,25,19,40,25,4,15,18,14,4,3,16,60,31,5,9,13,43,9,19,50,14,10,39,17,27,38,11,24,14,19,172,19,5,35,4,19,119,49,34,43,35,43,48,70,53,40
Eloc,62,76,84,56,50,97,113,131,121,27,59,43,29,32,21,79,169,114,11,35,32,132,43,62,131,43,31,133,48,80,127,63,68,42,83,862,88,21,132,34,143,542,187,152,191,165,136,188,291,224,134
Tmem70,4,5,9,2,2,8,11,14,8,2,7,2,3,1,1,5,21,6,2,5,0,8,3,8,15,6,1,13,2,9,8,4,6,0,7,63,6,2,5,5,14,47,10,7,24,12,19,22,35,24,11
Ly96,2,2,8,1,1,1,5,2,13,1,0,4,3,0,0,4,7,6,0,2,0,4,0,0,1,0,0,4,1,1,6,1,3,3,2,14,2,0,1,0,2,5,7,2,5,6,12,2,10,1,7
Mcm3,46,88,65,40,43,102,64,120,97,4,47,17,28,18,9,47,141,87,11,43,31,148,49,29,154,38,26,106,52,69,108,36,61,49,78,845,74,32,140,45,124,671,147,124,170,135,104,214,218,175,124
Paqr8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,2,0,0,0,4,1,1,0,0,0,2,2,0,0,0,0,1,0,1,0
Tram2,1,4,4,3,3,5,7,13,6,1,5,1,2,3,1,10,7,2,2,1,4,4,6,2,8,4,1,6,4,4,10,1,7,5,9,50,4,1,8,2,11,28,4,7,3,8,10,11,13,9,4
Ogfrl1,104,139,122,112,80,161,167,296,194,34,162,91,35,52,34,123,462,182,30,28,42,301,92,141,232,122,75,324,118,193,242,143,167,125,150,1641,167,25,258,38,243,1136,377,273,358,305,217,348,513,437,358
Smap1,34,52,39,27,26,39,64,91,77,13,47,20,21,25,13,41,88,40,15,11,17,97,20,45,68,26,15,73,42,50,70,25,54,44,57,502,47,15,81,16,92,340,119,85,132,115,88,119,172,162,98
Sdhaf4,5,7,8,3,2,5,12,13,19,1,3,7,6,0,3,4,15,5,1,1,1,7,4,3,9,1,3,7,5,6,11,1,2,9,2,42,9,0,15,3,7,32,18,8,12,9,17,16,21,11,15
Lmbrd1,5,8,8,2,10,8,18,17,14,4,5,3,2,5,4,8,19,10,5,3,2,19,5,4,18,9,2,11,8,8,13,4,4,8,8,81,12,2,22,4,20,51,13,16,18,17,18,19,22,24,17
Phf3,41,61,39,40,46,48,67,107,90,14,56,26,13,14,9,45,156,62,20,14,24,107,42,52,113,34,17,88,57,53,96,33,44,34,53,571,73,23,113,19,107,407,115,99,116,107,89,135,172,130,103
Ptp4a1,0,1,1,1,0,1,3,2,4,0,3,0,0,0,0,0,2,2,1,0,1,3,0,1,2,1,0,1,1,0,0,1,2,0,0,4,0,0,2,1,2,4,4,1,1,5,1,4,4,0,1
Prim2,10,16,15,14,9,23,22,46,32,10,10,11,5,3,3,22,38,21,6,5,5,56,16,11,33,11,8,33,15,18,27,10,20,22,14,191,26,5,30,8,29,128,40,29,29,37,30,51,58,48,35
Rab23,3,2,2,1,1,1,1,4,4,0,2,1,1,1,0,2,3,2,2,0,1,1,0,1,4,0,0,3,3,5,2,1,1,1,4,17,0,0,4,2,2,8,6,7,3,5,3,2,2,4,2
Bag2,0,0,0,0,0,0,3,3,2,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,4,0,2,0,1,0,0,2,12,0,0,0,0,1,4,0,0,2,1,0,0,4,0,3
Zfp451,15,16,17,10,13,24,29,35,33,2,17,15,8,10,5,17,44,28,5,7,3,47,9,17,35,7,12,31,9,18,17,12,17,9,18,174,23,2,42,4,29,134,27,22,29,27,22,35,45,44,29
Dst,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,1,1,0,1,1,0
Gm37233,3,6,3,1,4,3,4,5,4,0,5,0,0,0,2,5,5,0,4,0,0,14,1,3,9,4,0,4,7,4,1,4,0,1,3,47,6,0,5,1,4,27,3,7,8,4,6,12,15,15,7
Ccdc115,17,12,22,9,10,24,34,36,33,6,20,13,6,13,3,12,62,36,6,9,9,56,16,29,53,21,12,53,16,26,51,22,21,13,22,264,35,6,45,9,55,182,77,53,77,57,49,64,101,106,57
Imp4,5,5,18,8,3,8,18,30,22,4,9,5,3,2,0,13,26,23,2,0,1,28,4,6,19,4,6,28,8,18,17,9,15,5,16,151,11,0,24,3,15,73,27,15,29,19,16,34,44,36,16
Ptpn18,141,120,165,81,87,165,185,267,277,72,130,82,57,44,30,143,375,245,38,60,27,244,73,129,220,97,45,229,87,147,230,116,133,110,144,1483,172,63,280,70,232,1074,399,267,369,340,305,404,576,463,319
Gm28417,1,1,0,2,0,1,4,2,1,0,0,1,0,1,0,0,5,5,1,0,0,4,1,0,1,1,1,5,3,1,3,1,1,1,1,23,5,0,1,1,1,11,4,4,2,4,7,5,9,6,2
Arhgef4,0,3,0,0,2,3,2,6,7,0,4,0,1,1,0,0,12,1,0,1,2,9,4,2,10,1,0,6,2,4,5,1,3,7,0,30,4,0,5,1,3,24,5,2,7,6,5,8,9,10,5
Fam168b,25,31,34,23,21,31,49,65,54,11,29,14,10,12,3,35,95,45,7,10,21,82,13,23,61,25,12,49,25,39,50,14,27,18,39,433,44,11,72,13,56,308,73,53,85,53,55,70,129,94,56
Plekhb2,9,9,5,6,4,10,11,7,6,1,4,4,3,4,1,4,18,4,3,0,3,16,4,2,10,3,0,11,6,6,9,5,4,3,4,86,5,1,15,1,9,60,8,6,12,7,13,19,12,19,12
Hs6st1,3,3,7,3,4,2,3,5,6,3,3,1,1,0,1,2,5,6,1,2,0,1,0,0,3,1,0,2,2,0,4,1,1,1,1,13,6,2,9,0,1,7,2,2,2,2,7,3,14,4,3
Uggt1,24,24,25,17,21,37,48,70,66,14,23,25,12,13,9,32,84,33,9,15,12,78,29,21,68,28,17,45,32,48,47,20,24,34,22,382,54,14,68,13,54,292,80,56,59,58,56,65,95,74,72
Neurl3,7,7,4,5,2,12,3,12,12,3,3,3,3,3,1,8,13,3,4,1,1,16,3,6,15,5,1,8,3,6,7,8,6,5,13,78,7,0,21,0,6,40,17,10,24,7,18,14,24,18,12
Arid5a,8,13,17,12,9,8,19,32,16,3,10,5,6,6,0,15,25,14,3,4,6,25,3,7,23,3,6,21,8,7,22,6,15,12,16,143,10,7,22,0,27,93,44,36,29,26,24,23,50,25,25
Kansl3,5,11,10,6,4,12,10,24,21,4,11,6,5,1,1,9,23,13,4,2,4,18,11,12,24,13,3,26,8,18,24,20,10,7,19,165,22,4,38,3,20,91,38,20,22,21,32,39,40,32,21
Lman2l,18,20,16,11,15,22,23,36,21,6,20,3,3,4,5,12,51,26,6,7,8,39,13,26,38,16,10,38,19,22,34,22,15,15,18,193,17,5,33,4,31,126,51,29,39,39,25,57,76,41,50
Cnnm4,8,9,11,8,5,14,9,14,12,3,10,3,1,5,1,12,20,22,3,4,7,14,7,5,6,4,4,17,13,6,12,6,6,2,10,100,11,4,18,1,9,64,12,10,10,5,8,12,18,22,4
Cnnm3,7,8,12,5,7,5,15,15,17,2,7,7,2,6,0,4,23,11,2,1,9,25,5,11,30,4,1,17,1,11,24,10,12,2,14,117,7,2,30,4,16,95,17,15,10,8,18,27,34,22,16
Ankrd39,2,5,3,0,5,4,9,8,5,1,1,3,1,4,1,7,6,5,0,1,2,5,0,0,9,0,1,7,3,5,9,6,2,3,4,48,8,1,4,3,7,36,9,8,9,7,10,6,16,11,7
Cox5b,247,241,370,168,149,286,378,528,514,110,245,155,102,76,63,259,735,418,110,110,105,495,134,235,457,178,93,436,188,309,399,190,224,143,336,2623,284,79,541,114,488,1816,707,515,772,631,536,724,1046,903,643
Actr1b,5,6,13,2,9,13,18,13,16,2,9,5,2,6,2,13,23,11,1,4,5,22,7,11,16,7,5,11,10,12,12,7,9,6,10,134,15,2,22,6,16,73,24,14,22,18,20,28,27,25,19
Zap70,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
Tmem131,18,36,24,16,15,34,49,68,41,9,26,11,7,14,6,27,62,29,8,12,10,62,12,35,41,12,12,60,18,30,44,17,20,15,37,310,32,13,50,12,50,188,56,44,57,47,38,47,77,58,32
Gm38115,4,3,2,0,1,4,4,5,3,0,3,0,2,0,0,2,5,2,0,1,1,7,0,4,7,2,3,4,0,4,1,3,1,3,4,19,2,0,1,1,5,16,9,2,6,0,2,3,6,3,3
Inpp4a,15,21,26,21,16,27,35,55,46,10,25,12,7,10,5,22,65,40,10,6,10,54,10,27,43,21,9,33,21,31,34,18,23,25,28,306,27,9,58,3,58,182,61,41,44,44,34,51,83,57,61
Coa5,6,12,31,8,10,19,19,33,21,3,10,7,8,7,5,12,36,19,6,6,5,21,3,16,20,8,3,15,16,9,19,11,14,5,6,157,14,5,29,4,23,98,24,33,33,24,24,41,38,34,19
Unc50,14,10,22,15,9,17,25,50,30,7,17,10,2,6,3,19,38,32,12,7,13,36,12,22,48,13,9,46,17,19,31,14,18,7,30,204,19,5,49,11,31,160,55,46,54,60,43,65,68,57,40
