cluster_id,orig.ident,group,mouse
?,11A2_1O_dist,12wdist_2days,11A2_1O
?,11A2_1O_prox,12wprox_2days,11A2_1O
?,11A2_2O_dist,12wdist_2days,11A2_2O
?,11A2_8O_dist,12wdist_2days,11A2_8O
?,11A2_8O_prox,12wprox_2days,11A2_8O
?,11A5_10_prox,12wprox_5days,11A5_10
?,11A5_11_dist,12wdist_5days,11A5_11
?,11A5_11_fx,12wfx_5days,11A5_11
?,11A5_11_prox,12wprox_5days,11A5_11
?,11A5_12_dist,12wdist_5days,11A5_12
?,11A5_12_fx,12wfx_5days,11A5_12
?,11A5_12_prox,12wprox_5days,11A5_12
?,11B2_15_fx,26wEfx_2days,11B2_15
?,11B2_16_fx,26wEfx_2days,11B2_16
?,11B5_23_fx,26wEfx_5days,11B5_23
?,11B5_24_dist,26wEdist_5days,11B5_24
?,11C2_25_fx,26wSPFfx_2days,11C2_25
?,11C2_25_prox,26wSPFprox_2days,11C2_25
?,11C5_31_dist,26wSPFdist_5days,11C5_31
?,11C5_31_fx,26wSPFfx_5days,11C5_31
?,11C5_31_prox,26wSPFprox_5days,11C5_31
?,11C5_34_prox,26wSPFprox_5days,11C5_34
?,11C5_36_dist,26wSPFdist_5days,11C5_36
?,11C5_36_prox,26wSPFprox_5days,11C5_36
B Cells,11A2_1O_dist,12wdist_2days,11A2_1O
B Cells,11A2_1O_fx,12wfx_2days,11A2_1O
B Cells,11A2_1O_prox,12wprox_2days,11A2_1O
B Cells,11A2_2O_dist,12wdist_2days,11A2_2O
B Cells,11A2_2O_fx,12wfx_2days,11A2_2O
B Cells,11A2_2O_prox,12wprox_2days,11A2_2O
B Cells,11A2_8O_dist,12wdist_2days,11A2_8O
B Cells,11A2_8O_fx,12wfx_2days,11A2_8O
B Cells,11A2_8O_prox,12wprox_2days,11A2_8O
B Cells,11A5_10_dist,12wdist_5days,11A5_10
B Cells,11A5_10_fx,12wfx_5days,11A5_10
B Cells,11A5_10_prox,12wprox_5days,11A5_10
B Cells,11A5_11_dist,12wdist_5days,11A5_11
B Cells,11A5_11_fx,12wfx_5days,11A5_11
B Cells,11A5_11_prox,12wprox_5days,11A5_11
B Cells,11A5_12_dist,12wdist_5days,11A5_12
B Cells,11A5_12_fx,12wfx_5days,11A5_12
B Cells,11A5_12_prox,12wprox_5days,11A5_12
