"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.62524519564735,0.995,0.51,0,"0","Hist1h2ap"
0,2.3895028054859,0.987,0.294,0,"0","Hist1h3c"
0,2.27205136655872,0.993,0.633,0,"0","Hist1h1e"
0,2.26646396166274,1,0.975,0,"0","Camp"
0,2.18947527885066,0.997,0.423,0,"0","Hist1h1b"
0,2.1733857147783,1,0.951,0,"0","Ngp"
0,2.0095969958583,0.989,0.516,0,"0","Hist1h4d"
0,1.9788131228514,0.986,0.37,0,"0","Hist1h2ae"
0,1.9322091344922,0.985,0.32,0,"0","Hist1h1d"
0,1.91847407528457,1,0.79,0,"0","Chil3"
0,1.91349039974239,0.978,0.351,0,"0","Fcnb"
0,1.86476221976466,1,0.669,0,"0","Hmgn2"
0,1.74147702002121,0.999,0.69,0,"0","Ltf"
0,1.74000959630692,1,0.816,0,"0","Lcn2"
0,1.66272121682463,1,0.999,0,"0","S100a8"
0,1.65919391747377,0.971,0.19,0,"0","Hist1h2ab"
0,1.65190270177021,0.997,0.408,0,"0","Top2a"
0,1.63992209919169,0.961,0.327,0,"0","Hist2h2ac"
0,1.63434998724523,1,0.999,0,"0","S100a9"
0,1.61526577138782,0.956,0.28,0,"0","Hist1h4h"
0,1.54004206665408,0.986,0.354,0,"0","Cebpe"
0,1.52720865567044,1,0.473,0,"0","Mki67"
0,1.47607650916914,0.999,0.666,0,"0","Wfdc21"
0,1.47085149053509,0.954,0.228,0,"0","Nusap1"
0,1.44122018336185,0.992,0.396,0,"0","Pclaf"
0,1.37655429017157,0.997,0.672,0,"0","Pglyrp1"
0,1.33166446248374,0.996,0.448,0,"0","Cd177"
0,1.32684786554927,0.966,0.464,0,"0","Hist1h1c"
0,1.31357997753956,0.999,0.937,0,"0","Hmgb2"
0,1.30266451439179,0.978,0.357,0,"0","H2afx"
0,1.27162828499092,0.996,0.548,0,"0","Serpinb1a"
0,1.25096622308528,0.995,0.407,0,"0","Syne1"
0,1.24798619028968,0.998,0.74,0,"0","Anxa1"
0,1.20156311307721,0.894,0.358,0,"0","Ube2c"
0,1.19193283242265,0.96,0.248,0,"0","Prc1"
0,1.17266837102706,0.987,0.362,0,"0","Smc2"
0,1.16431515582171,0.979,0.288,0,"0","Rrm2"
0,1.15674687658613,0.936,0.202,0,"0","Spc25"
0,1.13659510046507,0.965,0.356,0,"0","Syne2"
0,1.13437717997661,0.997,0.541,0,"0","Stmn1"
0,1.13068990571229,0.975,0.269,0,"0","Kif11"
0,1.0974511175392,0.997,0.576,0,"0","Smc4"
0,1.08258288746278,0.881,0.148,0,"0","Hist1h3i"
0,1.06333724622558,0.997,0.59,0,"0","Lta4h"
0,1.06287428692864,0.999,0.713,0,"0","Dstn"
0,1.05915498028328,0.975,0.291,0,"0","Kif15"
0,1.05835921187174,0.925,0.231,0,"0","Ncam1"
0,1.05350749633786,0.93,0.168,0,"0","Esco2"
0,1.04745384860627,0.954,0.309,0,"0","Cdca8"
0,1.04666459965931,0.871,0.152,0,"0","Orm1"
0,1.04312946430179,0.996,0.523,0,"0","Adpgk"
0,1.03222221990123,0.991,0.601,0,"0","C3"
0,1.0015004916032,0.999,0.912,0,"0","H2afz"
0,1.00010724120522,0.969,0.342,0,"0","Birc5"
0,0.9883076469432,0.995,0.737,0,"0","1810037I17Rik"
0,0.987638799603501,0.985,0.595,0,"0","Tuba4a"
0,0.980728342095917,0.972,0.464,0,"0","Pgp"
0,0.97093846085318,0.988,0.448,0,"0","Rflnb"
0,0.970382646103264,0.997,0.624,0,"0","Cpne3"
0,0.970098304324741,0.985,0.589,0,"0","Ube2s"
0,0.957116092517507,0.955,0.263,0,"0","Gca"
0,0.950434381778524,0.852,0.117,0,"0","Hist1h2bn"
0,0.949417736824534,0.882,0.181,0,"0","Hist1h3f"
0,0.938289984772417,0.966,0.288,0,"0","Knl1"
0,0.933593130559048,0.889,0.15,0,"0","Hist1h2bb"
0,0.918331957090664,0.933,0.259,0,"0","Cdk1"
0,0.903908612608463,0.901,0.233,0,"0","Hist1h3e"
0,0.900955359989732,0.97,0.418,0,"0","Trem3"
0,0.899526544708416,0.946,0.315,0,"0","Ncapd3"
0,0.892136019021134,0.917,0.211,0,"0","Fbxo5"
0,0.88905111278947,0.866,0.168,0,"0","Hist2h2bb"
0,0.887000795132373,0.972,0.276,0,"0","Itgb2l"
0,0.880989120485798,0.88,0.218,0,"0","Hist1h2be"
0,0.862441238575618,0.998,0.953,0,"0","Arhgdib"
0,0.857918057628941,0.918,0.265,0,"0","Tpx2"
0,0.855682073948606,0.985,0.416,0,"0","Cd63"
0,0.853087787474423,0.923,0.251,0,"0","Asf1b"
0,0.851062344651524,0.916,0.296,0,"0","Cenpe"
0,0.848323632979543,0.859,0.127,0,"0","Hist1h3b"
0,0.843826893579215,0.993,0.781,0,"0","Scp2"
0,0.841685585493445,0.824,0.278,0,"0","Cenpf"
0,0.841341986595434,0.835,0.12,0,"0","Hist1h2af"
0,0.840195647417319,0.91,0.175,0,"0","Pbk"
0,0.839909925726911,0.937,0.292,0,"0","E2f8"
0,0.839528038228364,0.926,0.251,0,"0","Abca13"
0,0.836959439049036,0.845,0.129,0,"0","Hist1h2ak"
0,0.831601437226714,0.919,0.299,0,"0","Cdc25a"
0,0.823111204335279,0.849,0.165,0,"0","Hist1h2bj"
0,0.812325551499536,0.892,0.22,0,"0","Hist2h2aa1"
0,0.811301256973234,0.892,0.206,0,"0","Ndc80"
0,0.793067491257622,0.802,0.161,0,"0","Inhba"
0,0.792954305149385,0.87,0.258,0,"0","Arhgap19"
0,0.791097425487528,0.929,0.342,0,"0","Agpat2"
0,0.78930129735352,0.922,0.218,0,"0","Neil3"
0,0.787523737229567,0.84,0.174,0,"0","Hist1h2br"
0,0.781466687313098,0.926,0.237,0,"0","Ly75"
0,0.760738506168085,0.929,0.355,0,"0","Abhd5"
0,0.759276933359169,0.934,0.261,0,"0","Ccna2"
0,0.758724371198586,0.913,0.276,0,"0","Kif23"
0,0.740452146306731,0.903,0.238,0,"0","Anln"
0,0.738029356153451,0.917,0.318,0,"0","Cdca3"
0,0.737633307642607,0.958,0.439,0,"0","Tfdp1"
0,0.73119208917866,0.949,0.338,0,"0","Incenp"
0,0.726879895298755,0.944,0.295,0,"0","Spc24"
0,0.722162003587929,0.927,0.391,0,"0","Tuba1c"
0,0.720315904474166,0.805,0.136,0,"0","Hist1h2bm"
0,0.717063272920816,0.863,0.197,0,"0","Sgo2a"
0,0.708115200796871,0.827,0.184,0,"0","Plk1"
0,0.705521142998742,0.93,0.37,0,"0","Hsd11b1"
0,0.702047399619902,0.862,0.238,0,"0","1700020L24Rik"
0,0.700263276450123,0.906,0.262,0,"0","Plk4"
0,0.691324690619631,0.853,0.159,0,"0","Ccnf"
0,0.690458465658594,0.836,0.215,0,"0","Tk1"
0,0.687152000700583,0.894,0.278,0,"0","Tacc3"
0,0.685975889288211,0.839,0.25,0,"0","Tyms"
0,0.680128851340877,0.918,0.262,0,"0","Ncapg2"
0,0.678950126069321,0.798,0.193,0,"0","Hist1h4c"
0,0.67859920226237,0.958,0.356,0,"0","Rrm1"
0,0.674866891354959,0.91,0.266,0,"0","Chil1"
0,0.669752413606064,0.875,0.298,0,"0","Ccdc34"
0,0.662998822739509,0.955,0.41,0,"0","Ero1l"
0,0.656528380675038,0.82,0.229,0,"0","Hmmr"
0,0.653204446045264,0.856,0.209,0,"0","Ckap2l"
0,0.652880094972434,0.856,0.209,0,"0","Ncapg"
0,0.623746091768533,0.87,0.265,0,"0","Larp1b"
0,0.622221077496106,0.849,0.219,0,"0","Cit"
0,0.620080495875732,0.759,0.122,0,"0","Hist1h2an"
0,0.618881235534017,0.806,0.168,0,"0","Ska1"
0,0.61865405046903,0.887,0.298,0,"0","Marcksl1"
0,0.615294760767721,0.904,0.278,0,"0","Lockd"
0,0.615064607589804,0.865,0.237,0,"0","Clspn"
0,0.614330255641861,0.856,0.234,0,"0","Dlgap5"
0,0.611566382909887,0.889,0.244,0,"0","Mapk13"
0,0.609942598273513,0.827,0.193,0,"0","Nuf2"
0,0.609704934920721,0.832,0.193,0,"0","Kif4"
0,0.608977566018727,0.806,0.158,0,"0","Cdca2"
0,0.602270236358086,0.828,0.189,0,"0","Sgo1"
0,0.601000287760338,0.835,0.187,0,"0","Agap1"
0,0.590182102186779,0.856,0.262,0,"0","Hmgb3"
0,0.585639883775651,0.879,0.232,0,"0","Aurkb"
0,0.582679655425301,0.908,0.346,0,"0","Lnpk"
0,0.581799615240205,0.776,0.146,0,"0","Ica1"
0,0.576593977971372,0.825,0.249,0,"0","Cdkn3"
0,0.571417092382281,0.816,0.169,0,"0","Klf5"
0,0.566414934696429,0.803,0.197,0,"0","Mis18bp1"
0,0.561137056113299,0.824,0.173,0,"0","Ncaph"
0,0.547120226270627,0.9,0.302,0,"0","Ncapd2"
0,0.545890870376344,0.844,0.191,0,"0","4930438A08Rik"
0,0.545346421266081,0.747,0.146,0,"0","Olfml2b"
0,0.544509028532415,0.734,0.144,0,"0","Depdc1a"
0,0.540138444708946,0.866,0.284,0,"0","Dbf4"
0,0.53625591685509,0.835,0.256,0,"0","Ptgs1"
0,0.517102763558574,0.813,0.201,0,"0","Kif22"
0,0.513946152212178,0.867,0.236,0,"0","Rgcc"
0,0.511440078813795,0.793,0.199,0,"0","Pde4d"
0,0.509133665495155,0.864,0.281,0,"0","Jdp2"
0,0.490109201678267,0.793,0.202,0,"0","Bub1"
0,0.483906863017811,0.725,0.167,0,"0","Aurka"
0,0.480886740574431,0.818,0.216,0,"0","Cdkn2c"
0,0.480417809176702,0.739,0.203,0,"0","Cntln"
0,0.472888327806958,0.79,0.223,0,"0","Wipi1"
0,0.472643762540392,0.812,0.246,0,"0","Gatm"
0,0.463818292765507,0.747,0.192,0,"0","Rad51ap1"
0,0.462585353622305,0.714,0.112,0,"0","Mxd3"
0,0.460943020407162,0.787,0.209,0,"0","Ffar2"
0,0.459339100853701,0.714,0.165,0,"0","Brip1"
0,0.458907322828798,0.781,0.21,0,"0","Tmem216"
0,0.456397321195833,0.695,0.111,0,"0","Hist1h2bh"
0,0.445450743651399,0.645,0.116,0,"0","E2f7"
0,0.443361544278612,0.738,0.162,0,"0","Prom1"
0,0.439900354690314,0.731,0.165,0,"0","Shcbp1"
0,0.422862518797624,0.652,0.142,0,"0","Stk39"
0,0.422089489796587,0.796,0.236,0,"0","Trim59"
0,0.421120735413515,0.671,0.142,0,"0","Ttk"
0,0.412963949045516,0.66,0.151,0,"0","Ada"
0,0.4026598247207,0.688,0.16,0,"0","Spag5"
0,0.401272105009533,0.66,0.136,0,"0","Stil"
0,0.392910178464973,0.756,0.193,0,"0","Dach1"
0,0.383155648414034,0.609,0.118,0,"0","Iqgap3"
0,0.381749125372061,0.621,0.13,0,"0","Prr11"
0,0.37601252307268,0.641,0.155,0,"0","Gen1"
0,0.373943054054656,0.655,0.149,0,"0","Kif2c"
0,0.367544260644285,0.655,0.159,0,"0","Cdc7"
0,0.364843689192742,0.699,0.164,0,"0","Foxm1"
0,0.3644710023273,0.565,0.083,0,"0","Hist1h2ad"
0,0.364456087610288,0.612,0.134,0,"0","Kif14"
0,0.363313117409782,0.615,0.128,0,"0","Kntc1"
0,0.358922948637189,0.667,0.139,0,"0","Cdca5"
