library	file	raw_file	sample	source_name	compartment	age	strain	timepoint	group	multiplex
P1741_01_11A2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_10_12w_nonSPF_5days_proximal	11A5_10	proximal	12w	nonSPF	5days	12w_nonSPF_5days_proximal	HTO1
P1741_01_11A2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_10_12w_nonSPF_5days_distal	11A5_10	distal	12w	nonSPF	5days	12w_nonSPF_5days_distal	HTO2
P1741_01_11A2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_11_12w_nonSPF_5days_proximal	11A5_11	proximal	12w	nonSPF	5days	12w_nonSPF_5days_proximal	HTO3
P1741_01_11A2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_11_12w_nonSPF_5days_distal	11A5_11	distal	12w	nonSPF	5days	12w_nonSPF_5days_distal	HTO4
P1741_01_11A2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_12_12w_nonSPF_5days_proximal	11A5_12	proximal	12w	nonSPF	5days	12w_nonSPF_5days_proximal	HTO5
P1741_01_11A2_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_01_11A2_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_12_12w_nonSPF_5days_distal	11A5_12	distal	12w	nonSPF	5days	12w_nonSPF_5days_distal	HTO6
P1741_02_11A2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_02_11A2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_02_11A2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_10_12w_nonSPF_5days_fx	11A5_10	fx	12w	nonSPF	5days	12w_nonSPF_5days_fx	HTO4
P1741_02_11A2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_02_11A2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_02_11A2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_11_12w_nonSPF_5days_fx	11A5_11	fx	12w	nonSPF	5days	12w_nonSPF_5days_fx	HTO5
P1741_02_11A2_prox_dist	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_02_11A2_prox_dist/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_02_11A2_prox_dist/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A5_12_12w_nonSPF_5days_fx	11A5_12	fx	12w	nonSPF	5days	12w_nonSPF_5days_fx	HTO6
P1741_03_11A5_fx	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/filtered_feature_bc_matrix.h5	/fast/groups/cubi/work/milekm/mireille/raw_data_sodar/cellranger_collect/P1741_03_11A5_fx/20230502_cellranger_count/raw_feature_bc_matrix.h5	11A2_1_12w_nonSPF_2days_proximal	11A2_1	proximal	12w	nonSPF	2days	12w_nonSPF_2days_proximal	HTO1
